NombreComun,count
No aplica,4082
Diatomeas,1688
Queltehue,1118
Tiuque,706
Dinoflagelados,692
Chincol,645
Chirihue,621
Guindo Santo,557
Tórtola,490
Jilguero,472
Zorzal,392
Chanchito de mar,352
COPEPODOS,340
Bandurria,327
Tortolita cuyana,323
HUEVOS PECES,322
Cachudito,312
Golondrina chilena,308
LARVAS PECES,306
Chercán,301
Loica,264
GELATINOSOS,248
Queule,235
Gaviota dominicana,217
Pato jergón grande,211
Tordo,205
Garza grande,202
Trile,193
Yeco,187
Garza chica,186
Codorniz,182
Garza boyera,182
Pidén,180
Torcaza,178
Churrete,175
Chanchito,175
Chercan,170
Trucha café,168
Murciélago cola de ratón,167
Tortola,163
Pulga,160
Becacina,158
Bailarín chico,157
Lleuque,156
Gorrión,154
Pato jergón chico,152
Pato real,152
Tagüita,151
Aguilucho,151
Trucha arcoíris,150
Garza cuca,150
Run run,150
Picurio,149
Huala,148
Churrete acanelado,148
Cisne de cuello negro,147
Tagua común,147
Huairavo,146
Pato colorado,145
Colegial,145
Diuca,144
Pato cuchara,144
Tagua de frente roja,144
Pitotoy chico,144
Zarapito,144
Tagua chica,143
Siete colores,143
Vari,143
Pato rana de pico delgado,142
Fio fio,142
Pimpollo,142
Pelicano,142
Jote,142
Pilpilén,142
Zarapito de pico recto,142
Piquero,142
Gaviotín elegante,142
Trabajador,142
Cuervo de pantano,141
Perrito,141
Pitotoy grande,141
Nuco,141
Chercán de las vegas,141
Guanay,140
Cisne coscoroba,140
Caiquén,140
Canquén,140
Pato juarjual,140
Pato anteojillo,140
Pato capuchino,140
Pato gargantillo,140
Pato negro,140
Pato rinconero,140
Pato Mallard*,140
Pato doméstico*,140
Gallinazo,140
Aguila pescadora,140
Blanquillo,140
Pilpilén negro,140
Flamenco chileno,140
Chorlo dorado,140
Chorlo ártico,140
Chorlo nevado,140
Chorlo de doble collar,140
Chorlo de collar,140
Chorlo gritón,140
Chorlo chileno,140
Chorlo semipalmeado,140
Chorlo no identificado,140
Parina grande,140
Playero grande,140
Playero vuelve piedras,140
Playero de las rompientes,140
Playero ártico,140
Playero blanco,140
Playero semipalmeado,140
Playero de Baird,140
Pollito de mar tricolor,140
Perdicita,140
Salteador chileno,140
Gaviota cáhuil,140
Gaviota andina,140
Gaviota garuma,140
Gaviota reidora,140
Gaviota de Franklin,140
Gaviotín sudamericano,140
Gaviotín piquerito,140
Gaviotín monja,140
Rayador,140
Golondrina de dorsos negro,140
Churrete chico,140
Lile,140
Murciélago ceniciento,139
Carmelita de Concepción,136
Diucón,135
Mirlo,135
Tenca,133
Naranjillo,123
Copihue,120
Carmelita,113
Picaflor chico,109
queltehue,102
Bagrecito,96
Jote cabeza negra,94
Sin registro(s) / No hay más registros,90
Ratón oliváceo,86
Fío fío,84
Tijeral,79
Cernícalo,76
Huevil,73
Magnolio,72
Pulga de mar,72
sapito de cuatro ojos,66
Diatomea,65
Ttiuque,63
Golondrina dorso negro,63
Bagre chico,61
Viudita,60
Naranjo,59
Puye,58
Murciélago de cola libre,58
Choroy,57
Gusano de sangre,56
Fio-fio,54
Perdiz,54
Sapito de cuatro ojos,53
Peumo,52
Bovino,51
lagartija esbelta,50
Perdiz chilena,49
Limonero,49
tiuque,47
chincol,47
Caballo,47
Bailarín,40
Pocha,40
chercán,39
Jote de cabeza negra,38
Pejerrey,37
LARVAS ZOEAS,36
LARVAS CIPRIS,36
Lagartija esbelta,35
Coigüe,35
LARVAS DE POLIQUETO,34
Picaflor,34
Guarén,34
Jote cabeza colorada,33
Picaflor Chico,33
Lagartija lemniscata,32
ISOPODOS,32
